name,img,link
Black Poison Morning Vinyl,https://f4.bcbits.com/img/a1915901930_10.jpg,https://www.blowtorchrecords.com/product-page/his-fathers-voice-black-poison-morning-album
T-Shirt,https://f4.bcbits.com/img/0037368718_10.jpg,https://hisfathersvoice.bandcamp.com/merch/purple-design-short-sleeve-t-shirt
